Deutsch;Englisch;Kategorie
GrundFehler;basic mistake;Grundwortschatz
GrundBeispiel;basic example;Grundwortschatz
AlltagsFrage;everyday question;Grundwortschatz
AlltagsAntwort;everyday answer;Grundwortschatz
AlltagsSache;everyday thing;Grundwortschatz
AlltagsGrund;everyday reason;Grundwortschatz
AlltagsProblem;everyday problem;Grundwortschatz
AlltagsLösung;everyday solution;Grundwortschatz
AlltagsFehler;everyday mistake;Grundwortschatz
AlltagsBeispiel;everyday example;Grundwortschatz
EinzelFrage;single question;Grundwortschatz
EinzelAntwort;single answer;Grundwortschatz
EinzelSache;single thing;Grundwortschatz
EinzelGrund;single reason;Grundwortschatz
EinzelProblem;single problem;Grundwortschatz
EinzelLösung;single solution;Grundwortschatz
EinzelFehler;single mistake;Grundwortschatz
EinzelBeispiel;single example;Grundwortschatz
MehrfachFrage;multiple question;Grundwortschatz
MehrfachAntwort;multiple answer;Grundwortschatz
MehrfachSache;multiple thing;Grundwortschatz
MehrfachGrund;multiple reason;Grundwortschatz
MehrfachProblem;multiple problem;Grundwortschatz
MehrfachLösung;multiple solution;Grundwortschatz
MehrfachFehler;multiple mistake;Grundwortschatz
MehrfachBeispiel;multiple example;Grundwortschatz
GesamtFrage;total question;Grundwortschatz
GesamtAntwort;total answer;Grundwortschatz
GesamtSache;total thing;Grundwortschatz
GesamtGrund;total reason;Grundwortschatz
GesamtProblem;total problem;Grundwortschatz
GesamtLösung;total solution;Grundwortschatz
GesamtFehler;total mistake;Grundwortschatz
GesamtBeispiel;total example;Grundwortschatz
TeilFrage;partial question;Grundwortschatz
TeilAntwort;partial answer;Grundwortschatz
TeilSache;partial thing;Grundwortschatz
TeilGrund;partial reason;Grundwortschatz
TeilProblem;partial problem;Grundwortschatz
TeilLösung;partial solution;Grundwortschatz
TeilFehler;partial mistake;Grundwortschatz
TeilBeispiel;partial example;Grundwortschatz
NotFrage;emergency question;Grundwortschatz
NotAntwort;emergency answer;Grundwortschatz
NotSache;emergency thing;Grundwortschatz
NotGrund;emergency reason;Grundwortschatz
NotProblem;emergency problem;Grundwortschatz
NotLösung;emergency solution;Grundwortschatz
NotFehler;emergency mistake;Grundwortschatz
NotBeispiel;emergency example;Grundwortschatz
SicherheitsFrage;safety question;Grundwortschatz
SicherheitsAntwort;safety answer;Grundwortschatz
SicherheitsSache;safety thing;Grundwortschatz
SicherheitsGrund;safety reason;Grundwortschatz
SicherheitsProblem;safety problem;Grundwortschatz
SicherheitsLösung;safety solution;Grundwortschatz
SicherheitsFehler;safety mistake;Grundwortschatz
SicherheitsBeispiel;safety example;Grundwortschatz
NormalFrage;normal question;Grundwortschatz
NormalAntwort;normal answer;Grundwortschatz
NormalSache;normal thing;Grundwortschatz
NormalGrund;normal reason;Grundwortschatz
NormalProblem;normal problem;Grundwortschatz
NormalLösung;normal solution;Grundwortschatz
NormalFehler;normal mistake;Grundwortschatz
NormalBeispiel;normal example;Grundwortschatz
SpezialFrage;special question;Grundwortschatz
SpezialAntwort;special answer;Grundwortschatz
SpezialSache;special thing;Grundwortschatz
SpezialGrund;special reason;Grundwortschatz
SpezialProblem;special problem;Grundwortschatz
SpezialLösung;special solution;Grundwortschatz
SpezialFehler;special mistake;Grundwortschatz
SpezialBeispiel;special example;Grundwortschatz
StandardFrage;standard question;Grundwortschatz
StandardAntwort;standard answer;Grundwortschatz
StandardSache;standard thing;Grundwortschatz
StandardGrund;standard reason;Grundwortschatz
StandardProblem;standard problem;Grundwortschatz
StandardLösung;standard solution;Grundwortschatz
StandardFehler;standard mistake;Grundwortschatz
StandardBeispiel;standard example;Grundwortschatz
PrivatFrage;private question;Grundwortschatz
PrivatAntwort;private answer;Grundwortschatz
PrivatSache;private thing;Grundwortschatz
PrivatGrund;private reason;Grundwortschatz
PrivatProblem;private problem;Grundwortschatz
PrivatLösung;private solution;Grundwortschatz
PrivatFehler;private mistake;Grundwortschatz
PrivatBeispiel;private example;Grundwortschatz
öffentlich frage;public question;Grundwortschatz
öffentlich antwort;public answer;Grundwortschatz
öffentlich sache;public thing;Grundwortschatz
öffentlich grund;public reason;Grundwortschatz
öffentlich problem;public problem;Grundwortschatz
öffentlich lösung;public solution;Grundwortschatz
öffentlich fehler;public mistake;Grundwortschatz
öffentlich beispiel;public example;Grundwortschatz
eigen frage;own question;Grundwortschatz
eigen antwort;own answer;Grundwortschatz
eigen sache;own thing;Grundwortschatz
eigen grund;own reason;Grundwortschatz
eigen problem;own problem;Grundwortschatz
eigen lösung;own solution;Grundwortschatz
eigen fehler;own mistake;Grundwortschatz
eigen beispiel;own example;Grundwortschatz
fremd frage;foreign question;Grundwortschatz
fremd antwort;foreign answer;Grundwortschatz
fremd sache;foreign thing;Grundwortschatz
fremd grund;foreign reason;Grundwortschatz
fremd problem;foreign problem;Grundwortschatz
fremd lösung;foreign solution;Grundwortschatz
fremd fehler;foreign mistake;Grundwortschatz
fremd beispiel;foreign example;Grundwortschatz
lokal frage;local question;Grundwortschatz
lokal antwort;local answer;Grundwortschatz
lokal sache;local thing;Grundwortschatz
lokal grund;local reason;Grundwortschatz
lokal problem;local problem;Grundwortschatz
lokal lösung;local solution;Grundwortschatz
lokal fehler;local mistake;Grundwortschatz
lokal beispiel;local example;Grundwortschatz
zentral frage;central question;Grundwortschatz
zentral antwort;central answer;Grundwortschatz
zentral sache;central thing;Grundwortschatz
zentral grund;central reason;Grundwortschatz
zentral problem;central problem;Grundwortschatz
zentral lösung;central solution;Grundwortschatz
zentral fehler;central mistake;Grundwortschatz
zentral beispiel;central example;Grundwortschatz
direkt frage;direct question;Grundwortschatz
direkt antwort;direct answer;Grundwortschatz
direkt sache;direct thing;Grundwortschatz
direkt grund;direct reason;Grundwortschatz
direkt problem;direct problem;Grundwortschatz
direkt lösung;direct solution;Grundwortschatz
direkt fehler;direct mistake;Grundwortschatz
direkt beispiel;direct example;Grundwortschatz
indirekt frage;indirect question;Grundwortschatz
indirekt antwort;indirect answer;Grundwortschatz
indirekt sache;indirect thing;Grundwortschatz
indirekt grund;indirect reason;Grundwortschatz
indirekt problem;indirect problem;Grundwortschatz
indirekt lösung;indirect solution;Grundwortschatz
indirekt fehler;indirect mistake;Grundwortschatz
indirekt beispiel;indirect example;Grundwortschatz
Mensch;person;Personen & Familie
Person;person;Personen & Familie
Mann;man;Personen & Familie
Frau;woman;Personen & Familie
Kind;child;Personen & Familie
Baby;baby;Personen & Familie
Jugendlicher;teenager;Personen & Familie
Erwachsener;adult;Personen & Familie
Senior;senior citizen;Personen & Familie
Familie;family;Personen & Familie
Eltern;parents;Personen & Familie
Mutter;mother;Personen & Familie
Vater;father;Personen & Familie
Sohn;son;Personen & Familie
Tochter;daughter;Personen & Familie
Bruder;brother;Personen & Familie
Schwester;sister;Personen & Familie
Geschwister;siblings;Personen & Familie
Grossmutter;grandmother;Personen & Familie
Grossvater;grandfather;Personen & Familie
Enkel;grandchild;Personen & Familie
Enkelin;granddaughter;Personen & Familie
Onkel;uncle;Personen & Familie
Tante;aunt;Personen & Familie
Cousin;cousin;Personen & Familie
Cousine;female cousin;Personen & Familie
Neffe;nephew;Personen & Familie
Nichte;niece;Personen & Familie
Ehemann;husband;Personen & Familie
Ehefrau;wife;Personen & Familie
Partner;partner;Personen & Familie
Partnerin;female partner;Personen & Familie
Freund;friend;Personen & Familie
Freundin;female friend;Personen & Familie
Bekannter;acquaintance;Personen & Familie
Nachbar;neighbour;Personen & Familie
Nachbarin;female neighbour;Personen & Familie
Kollege;colleague;Personen & Familie
Kollegin;female colleague;Personen & Familie
Chef;boss;Personen & Familie
Chefin;female boss;Personen & Familie
Kunde;customer;Personen & Familie
Kundin;female customer;Personen & Familie
Gast;guest;Personen & Familie
Besucher;visitor;Personen & Familie
Einwohner;resident;Personen & Familie
Bürger;citizen;Personen & Familie
Bürgerin;female citizen;Personen & Familie
Schweizer;Swiss man;Personen & Familie
Schweizerin;Swiss woman;Personen & Familie
Ausländer;foreigner;Personen & Familie
Ausländerin;female foreigner;Personen & Familie
Verwandter;relative;Personen & Familie
Verwandte;female relative;Personen & Familie
Vormund;guardian;Personen & Familie
Pate;godfather;Personen & Familie
Patin;godmother;Personen & Familie
Lehrer;teacher;Personen & Familie
Lehrerin;female teacher;Personen & Familie
Arzt;doctor;Personen & Familie
Ärztin;female doctor;Personen & Familie
Pflegefachmann;nurse;Personen & Familie
Pflegefachfrau;female nurse;Personen & Familie
Polizist;police officer;Personen & Familie
Polizistin;female police officer;Personen & Familie
Verkäufer;salesperson;Personen & Familie
Verkäuferin;saleswoman;Personen & Familie
Fahrer;driver;Personen & Familie
Fahrerin;female driver;Personen & Familie
Koch;cook;Personen & Familie
Köchin;female cook;Personen & Familie
Handwerker;craftsman;Personen & Familie
Handwerkerin;female craftswoman;Personen & Familie
Vermieter;landlord;Personen & Familie
Vermieterin;landlady;Personen & Familie
Mieter;tenant;Personen & Familie
Mieterin;female tenant;Personen & Familie
Familie-Leiter;family manager;Personen & Familie
Schule-Leiter;school manager;Personen & Familie
Büro-Leiter;office manager;Personen & Familie
Verkauf-Leiter;sales manager;Personen & Familie
Kundendienst-Leiter;customer service manager;Personen & Familie
Reise-Leiter;travel manager;Personen & Familie
Gesundheit-Leiter;health manager;Personen & Familie
Sport-Leiter;sports manager;Personen & Familie
Finanzen-Leiter;finance manager;Personen & Familie
Technik-Leiter;technology manager;Personen & Familie
Sicherheit-Leiter;security manager;Personen & Familie
Verwaltung-Leiter;administration manager;Personen & Familie
Familie-Leiterin;family female manager;Personen & Familie
Schule-Leiterin;school female manager;Personen & Familie
Büro-Leiterin;office female manager;Personen & Familie
Verkauf-Leiterin;sales female manager;Personen & Familie
Kundendienst-Leiterin;customer service female manager;Personen & Familie
Reise-Leiterin;travel female manager;Personen & Familie
Gesundheit-Leiterin;health female manager;Personen & Familie
Sport-Leiterin;sports female manager;Personen & Familie
Finanzen-Leiterin;finance female manager;Personen & Familie
Technik-Leiterin;technology female manager;Personen & Familie
Sicherheit-Leiterin;security female manager;Personen & Familie
Verwaltung-Leiterin;administration female manager;Personen & Familie
Familie-Berater;family advisor;Personen & Familie
Schule-Berater;school advisor;Personen & Familie
Büro-Berater;office advisor;Personen & Familie
Verkauf-Berater;sales advisor;Personen & Familie
Kundendienst-Berater;customer service advisor;Personen & Familie
Reise-Berater;travel advisor;Personen & Familie
Gesundheit-Berater;health advisor;Personen & Familie
Sport-Berater;sports advisor;Personen & Familie
Finanzen-Berater;finance advisor;Personen & Familie
Technik-Berater;technology advisor;Personen & Familie
Sicherheit-Berater;security advisor;Personen & Familie
Verwaltung-Berater;administration advisor;Personen & Familie
Familie-Beraterin;family female advisor;Personen & Familie
Schule-Beraterin;school female advisor;Personen & Familie
Büro-Beraterin;office female advisor;Personen & Familie
Verkauf-Beraterin;sales female advisor;Personen & Familie
Kundendienst-Beraterin;customer service female advisor;Personen & Familie
Reise-Beraterin;travel female advisor;Personen & Familie
Gesundheit-Beraterin;health female advisor;Personen & Familie
Sport-Beraterin;sports female advisor;Personen & Familie
Finanzen-Beraterin;finance female advisor;Personen & Familie
Technik-Beraterin;technology female advisor;Personen & Familie
Sicherheit-Beraterin;security female advisor;Personen & Familie
Verwaltung-Beraterin;administration female advisor;Personen & Familie
Familie-Assistent;family assistant;Personen & Familie
Schule-Assistent;school assistant;Personen & Familie
Büro-Assistent;office assistant;Personen & Familie
Verkauf-Assistent;sales assistant;Personen & Familie
Kundendienst-Assistent;customer service assistant;Personen & Familie
Reise-Assistent;travel assistant;Personen & Familie
Gesundheit-Assistent;health assistant;Personen & Familie
Sport-Assistent;sports assistant;Personen & Familie
Finanzen-Assistent;finance assistant;Personen & Familie
Technik-Assistent;technology assistant;Personen & Familie
Sicherheit-Assistent;security assistant;Personen & Familie
Verwaltung-Assistent;administration assistant;Personen & Familie
Familie-Assistentin;family female assistant;Personen & Familie
Schule-Assistentin;school female assistant;Personen & Familie
Büro-Assistentin;office female assistant;Personen & Familie
Verkauf-Assistentin;sales female assistant;Personen & Familie
Kundendienst-Assistentin;customer service female assistant;Personen & Familie
Reise-Assistentin;travel female assistant;Personen & Familie
Gesundheit-Assistentin;health female assistant;Personen & Familie
Sport-Assistentin;sports female assistant;Personen & Familie
Finanzen-Assistentin;finance female assistant;Personen & Familie
Technik-Assistentin;technology female assistant;Personen & Familie
Sicherheit-Assistentin;security female assistant;Personen & Familie
Verwaltung-Assistentin;administration female assistant;Personen & Familie
Familie-Spezialist;family specialist;Personen & Familie
Schule-Spezialist;school specialist;Personen & Familie
Büro-Spezialist;office specialist;Personen & Familie
Verkauf-Spezialist;sales specialist;Personen & Familie
Kundendienst-Spezialist;customer service specialist;Personen & Familie
Reise-Spezialist;travel specialist;Personen & Familie
Gesundheit-Spezialist;health specialist;Personen & Familie
Sport-Spezialist;sports specialist;Personen & Familie
Finanzen-Spezialist;finance specialist;Personen & Familie
Technik-Spezialist;technology specialist;Personen & Familie
Sicherheit-Spezialist;security specialist;Personen & Familie
Verwaltung-Spezialist;administration specialist;Personen & Familie
Familie-Spezialistin;family female specialist;Personen & Familie
Schule-Spezialistin;school female specialist;Personen & Familie
Büro-Spezialistin;office female specialist;Personen & Familie
Verkauf-Spezialistin;sales female specialist;Personen & Familie
Kundendienst-Spezialistin;customer service female specialist;Personen & Familie
Reise-Spezialistin;travel female specialist;Personen & Familie
Gesundheit-Spezialistin;health female specialist;Personen & Familie
Sport-Spezialistin;sports female specialist;Personen & Familie
Finanzen-Spezialistin;finance female specialist;Personen & Familie
Technik-Spezialistin;technology female specialist;Personen & Familie
Sicherheit-Spezialistin;security female specialist;Personen & Familie
Verwaltung-Spezialistin;administration female specialist;Personen & Familie
Familie-Sachbearbeiter;family clerk;Personen & Familie
Schule-Sachbearbeiter;school clerk;Personen & Familie
Büro-Sachbearbeiter;office clerk;Personen & Familie
Verkauf-Sachbearbeiter;sales clerk;Personen & Familie
Kundendienst-Sachbearbeiter;customer service clerk;Personen & Familie
Reise-Sachbearbeiter;travel clerk;Personen & Familie
Gesundheit-Sachbearbeiter;health clerk;Personen & Familie
Sport-Sachbearbeiter;sports clerk;Personen & Familie
Finanzen-Sachbearbeiter;finance clerk;Personen & Familie
Technik-Sachbearbeiter;technology clerk;Personen & Familie
Sicherheit-Sachbearbeiter;security clerk;Personen & Familie
Verwaltung-Sachbearbeiter;administration clerk;Personen & Familie
Familie-Sachbearbeiterin;family female clerk;Personen & Familie
Schule-Sachbearbeiterin;school female clerk;Personen & Familie
Büro-Sachbearbeiterin;office female clerk;Personen & Familie
Verkauf-Sachbearbeiterin;sales female clerk;Personen & Familie
Kundendienst-Sachbearbeiterin;customer service female clerk;Personen & Familie
Reise-Sachbearbeiterin;travel female clerk;Personen & Familie
Gesundheit-Sachbearbeiterin;health female clerk;Personen & Familie
Sport-Sachbearbeiterin;sports female clerk;Personen & Familie
Finanzen-Sachbearbeiterin;finance female clerk;Personen & Familie
Technik-Sachbearbeiterin;technology female clerk;Personen & Familie
Sicherheit-Sachbearbeiterin;security female clerk;Personen & Familie
Verwaltung-Sachbearbeiterin;administration female clerk;Personen & Familie
Familie-Betreuer;family carer;Personen & Familie
Schule-Betreuer;school carer;Personen & Familie
Büro-Betreuer;office carer;Personen & Familie
Verkauf-Betreuer;sales carer;Personen & Familie
Kundendienst-Betreuer;customer service carer;Personen & Familie
Reise-Betreuer;travel carer;Personen & Familie
Gesundheit-Betreuer;health carer;Personen & Familie
Sport-Betreuer;sports carer;Personen & Familie
Finanzen-Betreuer;finance carer;Personen & Familie
Technik-Betreuer;technology carer;Personen & Familie
Sicherheit-Betreuer;security carer;Personen & Familie
Verwaltung-Betreuer;administration carer;Personen & Familie
Familie-Betreuerin;family female carer;Personen & Familie
Schule-Betreuerin;school female carer;Personen & Familie
Büro-Betreuerin;office female carer;Personen & Familie
Verkauf-Betreuerin;sales female carer;Personen & Familie
Kundendienst-Betreuerin;customer service female carer;Personen & Familie
Reise-Betreuerin;travel female carer;Personen & Familie
Gesundheit-Betreuerin;health female carer;Personen & Familie
Sport-Betreuerin;sports female carer;Personen & Familie
Finanzen-Betreuerin;finance female carer;Personen & Familie
Technik-Betreuerin;technology female carer;Personen & Familie
Sicherheit-Betreuerin;security female carer;Personen & Familie
Verwaltung-Betreuerin;administration female carer;Personen & Familie
Familie-Trainer;family coach;Personen & Familie
Schule-Trainer;school coach;Personen & Familie
Büro-Trainer;office coach;Personen & Familie
Verkauf-Trainer;sales coach;Personen & Familie
Kundendienst-Trainer;customer service coach;Personen & Familie
Reise-Trainer;travel coach;Personen & Familie
Gesundheit-Trainer;health coach;Personen & Familie
Sport-Trainer;sports coach;Personen & Familie
Finanzen-Trainer;finance coach;Personen & Familie
Technik-Trainer;technology coach;Personen & Familie
Sicherheit-Trainer;security coach;Personen & Familie
Verwaltung-Trainer;administration coach;Personen & Familie
Familie-Trainerin;family female coach;Personen & Familie
Schule-Trainerin;school female coach;Personen & Familie
Büro-Trainerin;office female coach;Personen & Familie
Verkauf-Trainerin;sales female coach;Personen & Familie
Kundendienst-Trainerin;customer service female coach;Personen & Familie
Reise-Trainerin;travel female coach;Personen & Familie
Gesundheit-Trainerin;health female coach;Personen & Familie
Sport-Trainerin;sports female coach;Personen & Familie
Finanzen-Trainerin;finance female coach;Personen & Familie
Technik-Trainerin;technology female coach;Personen & Familie
Sicherheit-Trainerin;security female coach;Personen & Familie
Verwaltung-Trainerin;administration female coach;Personen & Familie
FamilienGruppe;family group;Personen & Familie
FamilienMitglied;family member;Personen & Familie
FamilienKontakt;family contact;Personen & Familie
FamilienKreis;family circle;Personen & Familie
FamilienFreund;family friend;Personen & Familie
FamilienBekanntschaft;family acquaintance;Personen & Familie
FamilienBesuch;family visit;Personen & Familie
FamilienBegleitung;family companion;Personen & Familie
FamilienVertretung;family representative;Personen & Familie
FamilienAnsprechperson;family contact person;Personen & Familie
ArbeitsGruppe;work group;Personen & Familie
ArbeitsMitglied;work member;Personen & Familie
ArbeitsKontakt;work contact;Personen & Familie
ArbeitsKreis;work circle;Personen & Familie
ArbeitsFreund;work friend;Personen & Familie
ArbeitsBekanntschaft;work acquaintance;Personen & Familie
ArbeitsBesuch;work visit;Personen & Familie
ArbeitsBegleitung;work companion;Personen & Familie
ArbeitsVertretung;work representative;Personen & Familie
ArbeitsAnsprechperson;work contact person;Personen & Familie
SchulGruppe;school group;Personen & Familie
SchulMitglied;school member;Personen & Familie
SchulKontakt;school contact;Personen & Familie
SchulKreis;school circle;Personen & Familie
SchulFreund;school friend;Personen & Familie
SchulBekanntschaft;school acquaintance;Personen & Familie
SchulBesuch;school visit;Personen & Familie
SchulBegleitung;school companion;Personen & Familie
SchulVertretung;school representative;Personen & Familie
SchulAnsprechperson;school contact person;Personen & Familie
SportGruppe;sports group;Personen & Familie
SportMitglied;sports member;Personen & Familie
SportKontakt;sports contact;Personen & Familie
SportKreis;sports circle;Personen & Familie
SportFreund;sports friend;Personen & Familie
SportBekanntschaft;sports acquaintance;Personen & Familie
SportBesuch;sports visit;Personen & Familie
SportBegleitung;sports companion;Personen & Familie
SportVertretung;sports representative;Personen & Familie
SportAnsprechperson;sports contact person;Personen & Familie
VereinsGruppe;club group;Personen & Familie
VereinsMitglied;club member;Personen & Familie
VereinsKontakt;club contact;Personen & Familie
VereinsKreis;club circle;Personen & Familie
VereinsFreund;club friend;Personen & Familie
VereinsBekanntschaft;club acquaintance;Personen & Familie
VereinsBesuch;club visit;Personen & Familie
VereinsBegleitung;club companion;Personen & Familie
VereinsVertretung;club representative;Personen & Familie
VereinsAnsprechperson;club contact person;Personen & Familie
WohnGruppe;residential group;Personen & Familie
WohnMitglied;residential member;Personen & Familie
WohnKontakt;residential contact;Personen & Familie
WohnKreis;residential circle;Personen & Familie
WohnFreund;residential friend;Personen & Familie
Haus;house;Zuhause & Wohnen
Wohnung;flat;Zuhause & Wohnen
Zimmer;room;Zuhause & Wohnen
Küche;kitchen;Zuhause & Wohnen
Bad;bathroom;Zuhause & Wohnen
Dusche;shower;Zuhause & Wohnen
Toilette;toilet;Zuhause & Wohnen
Wohnzimmer;living room;Zuhause & Wohnen
Schlafzimmer;bedroom;Zuhause & Wohnen
Kinderzimmer;children's room;Zuhause & Wohnen
Büro;office;Zuhause & Wohnen
Keller;cellar;Zuhause & Wohnen
Estrich;attic;Zuhause & Wohnen
Garage;garage;Zuhause & Wohnen
Garten;garden;Zuhause & Wohnen
Balkon;balcony;Zuhause & Wohnen
Terrasse;terrace;Zuhause & Wohnen
Dach;roof;Zuhause & Wohnen
Wand;wall;Zuhause & Wohnen
Boden;floor;Zuhause & Wohnen
Decke;ceiling;Zuhause & Wohnen
Fenster;window;Zuhause & Wohnen
Tür;door;Zuhause & Wohnen
Schlüssel;key;Zuhause & Wohnen
Schloss;lock;Zuhause & Wohnen
Treppe;stairs;Zuhause & Wohnen
Lift;lift;Zuhause & Wohnen
Flur;hallway;Zuhause & Wohnen
Eingang;entrance;Zuhause & Wohnen
Ausgang;exit;Zuhause & Wohnen
Tisch;table;Zuhause & Wohnen
Stuhl;chair;Zuhause & Wohnen
Sofa;sofa;Zuhause & Wohnen
Sessel;armchair;Zuhause & Wohnen
Bett;bed;Zuhause & Wohnen
Schrank;cupboard;Zuhause & Wohnen
Regal;shelf;Zuhause & Wohnen
Kommode;chest of drawers;Zuhause & Wohnen
Lampe;lamp;Zuhause & Wohnen
Teppich;carpet;Zuhause & Wohnen
Vorhang;curtain;Zuhause & Wohnen
Kissen;cushion;Zuhause & Wohnen
Decke;blanket;Zuhause & Wohnen
Matratze;mattress;Zuhause & Wohnen
Spiegel;mirror;Zuhause & Wohnen
Bild;picture;Zuhause & Wohnen
Uhr;clock;Zuhause & Wohnen
Heizung;heating;Zuhause & Wohnen
Steckdose;socket;Zuhause & Wohnen
Lichtschalter;light switch;Zuhause & Wohnen
Kühlschrank;fridge;Zuhause & Wohnen
Backofen;oven;Zuhause & Wohnen
Herd;stove;Zuhause & Wohnen
Geschirrspüler;dishwasher;Zuhause & Wohnen
Waschmaschine;washing machine;Zuhause & Wohnen
Trockner;dryer;Zuhause & Wohnen
Staubsauger;vacuum cleaner;Zuhause & Wohnen
Besen;broom;Zuhause & Wohnen
Eimer;bucket;Zuhause & Wohnen
Lappen;cloth;Zuhause & Wohnen
Reinigungsmittel;cleaning product;Zuhause & Wohnen
Müll;rubbish;Zuhause & Wohnen
Abfall;waste;Zuhause & Wohnen
Recycling;recycling;Zuhause & Wohnen
Briefkasten;letterbox;Zuhause & Wohnen
Klingel;doorbell;Zuhause & Wohnen
KüchenTisch;kitchen table;Zuhause & Wohnen
KüchenStuhl;kitchen chair;Zuhause & Wohnen
KüchenLampe;kitchen lamp;Zuhause & Wohnen
KüchenSchrank;kitchen cabinet;Zuhause & Wohnen
