id,dossier,kategorie,detail
FZA06,Personenfreizügigkeit,laengen_verraeter,correct 2.22x laenger als Distraktor-Schnitt
FZA07,Personenfreizügigkeit,laengen_verraeter,correct 2.39x laenger als Distraktor-Schnitt
FZA08,Personenfreizügigkeit,laengen_verraeter,correct 2.76x laenger als Distraktor-Schnitt
FZA09,Personenfreizügigkeit,laengen_verraeter,correct 2.03x laenger als Distraktor-Schnitt
FZA10,Personenfreizügigkeit,laengen_verraeter,correct 2.0x laenger als Distraktor-Schnitt
FZA12,Personenfreizügigkeit,laengen_verraeter,correct 1.78x laenger als Distraktor-Schnitt
FZA14,Personenfreizügigkeit,laengen_verraeter,correct 2.22x laenger als Distraktor-Schnitt
FZA15,Personenfreizügigkeit,laengen_verraeter,correct 3.1x laenger als Distraktor-Schnitt
FZA16,Personenfreizügigkeit,laengen_verraeter,correct 1.68x laenger als Distraktor-Schnitt
FZA17,Personenfreizügigkeit,laengen_verraeter,correct 3.39x laenger als Distraktor-Schnitt
FZA18,Personenfreizügigkeit,laengen_verraeter,correct 2.76x laenger als Distraktor-Schnitt
FZA19,Personenfreizügigkeit,laengen_verraeter,correct 2.48x laenger als Distraktor-Schnitt
FZA20,Personenfreizügigkeit,laengen_verraeter,correct 2.29x laenger als Distraktor-Schnitt
FZA21,Personenfreizügigkeit,laengen_verraeter,correct 3.06x laenger als Distraktor-Schnitt
FZA22,Personenfreizügigkeit,laengen_verraeter,correct 2.17x laenger als Distraktor-Schnitt
FZA23,Personenfreizügigkeit,laengen_verraeter,correct 3.56x laenger als Distraktor-Schnitt
FZA24,Personenfreizügigkeit,laengen_verraeter,correct 2.14x laenger als Distraktor-Schnitt
FZA25,Personenfreizügigkeit,laengen_verraeter,correct 2.83x laenger als Distraktor-Schnitt
FZA26,Personenfreizügigkeit,laengen_verraeter,correct 2.74x laenger als Distraktor-Schnitt
LAV001,Landverkehr,laengen_verraeter,correct 1.75x laenger als Distraktor-Schnitt
LAV009,Landverkehr,laengen_verraeter,correct 2.29x laenger als Distraktor-Schnitt
LAV010,Landverkehr,laengen_verraeter,correct 2.75x laenger als Distraktor-Schnitt
LAV011,Landverkehr,laengen_verraeter,correct 2.21x laenger als Distraktor-Schnitt
LAV012,Landverkehr,laengen_verraeter,correct 2.42x laenger als Distraktor-Schnitt
LAV013,Landverkehr,laengen_verraeter,correct 3.23x laenger als Distraktor-Schnitt
LAV014,Landverkehr,laengen_verraeter,correct 1.67x laenger als Distraktor-Schnitt
ELE01,Strom,laengen_verraeter,correct 1.77x laenger als Distraktor-Schnitt
ELE02,Strom,laengen_verraeter,correct 2.14x laenger als Distraktor-Schnitt
ELE03,Strom,laengen_verraeter,correct 1.63x laenger als Distraktor-Schnitt
ELE05,Strom,laengen_verraeter,correct 1.31x laenger als Distraktor-Schnitt
ELE06,Strom,laengen_verraeter,correct 2.07x laenger als Distraktor-Schnitt
ELE07,Strom,laengen_verraeter,correct 3.02x laenger als Distraktor-Schnitt
ELE08,Strom,laengen_verraeter,correct 1.59x laenger als Distraktor-Schnitt
ELE09,Strom,laengen_verraeter,correct 3.04x laenger als Distraktor-Schnitt
ELE10,Strom,laengen_verraeter,correct 1.88x laenger als Distraktor-Schnitt
ELE11,Strom,laengen_verraeter,correct 1.98x laenger als Distraktor-Schnitt
ELE12,Strom,laengen_verraeter,correct 2.64x laenger als Distraktor-Schnitt
ELE13,Strom,laengen_verraeter,correct 2.38x laenger als Distraktor-Schnitt
ELE14,Strom,laengen_verraeter,correct 1.97x laenger als Distraktor-Schnitt
ELE15,Strom,laengen_verraeter,correct 2.92x laenger als Distraktor-Schnitt
ELE16,Strom,laengen_verraeter,correct 2.94x laenger als Distraktor-Schnitt
ELE17,Strom,laengen_verraeter,correct 1.71x laenger als Distraktor-Schnitt
ELE18,Strom,laengen_verraeter,correct 1.39x laenger als Distraktor-Schnitt
ELE19,Strom,laengen_verraeter,correct 4.34x laenger als Distraktor-Schnitt
ELE21,Strom,laengen_verraeter,correct 2.73x laenger als Distraktor-Schnitt
ELE22,Strom,laengen_verraeter,correct 2.04x laenger als Distraktor-Schnitt
ELE23,Strom,laengen_verraeter,correct 2.29x laenger als Distraktor-Schnitt
ELE24,Strom,laengen_verraeter,correct 3.03x laenger als Distraktor-Schnitt
ELE25,Strom,laengen_verraeter,correct 2.61x laenger als Distraktor-Schnitt
ELE26,Strom,laengen_verraeter,correct 4.26x laenger als Distraktor-Schnitt
ELE28,Strom,laengen_verraeter,correct 2.13x laenger als Distraktor-Schnitt
LMS01,Lebensmittelsicherheit,laengen_verraeter,correct 1.73x laenger als Distraktor-Schnitt
LMS02,Lebensmittelsicherheit,laengen_verraeter,correct 3.62x laenger als Distraktor-Schnitt
LMS03,Lebensmittelsicherheit,laengen_verraeter,correct 1.54x laenger als Distraktor-Schnitt
LMS04,Lebensmittelsicherheit,laengen_verraeter,correct 1.84x laenger als Distraktor-Schnitt
LMS05,Lebensmittelsicherheit,laengen_verraeter,correct 3.19x laenger als Distraktor-Schnitt
LMS06,Lebensmittelsicherheit,laengen_verraeter,correct 2.33x laenger als Distraktor-Schnitt
LMS07,Lebensmittelsicherheit,laengen_verraeter,correct 3.06x laenger als Distraktor-Schnitt
LMS08,Lebensmittelsicherheit,laengen_verraeter,correct 4.44x laenger als Distraktor-Schnitt
LMS09,Lebensmittelsicherheit,laengen_verraeter,correct 5.15x laenger als Distraktor-Schnitt
LMS10,Lebensmittelsicherheit,laengen_verraeter,correct 4.43x laenger als Distraktor-Schnitt
LMS11,Lebensmittelsicherheit,laengen_verraeter,correct 5.24x laenger als Distraktor-Schnitt
LMS12,Lebensmittelsicherheit,laengen_verraeter,correct 3.2x laenger als Distraktor-Schnitt
LMS13,Lebensmittelsicherheit,laengen_verraeter,correct 3.03x laenger als Distraktor-Schnitt
LMS14,Lebensmittelsicherheit,laengen_verraeter,correct 3.19x laenger als Distraktor-Schnitt
LMS15,Lebensmittelsicherheit,laengen_verraeter,correct 3.38x laenger als Distraktor-Schnitt
LMS16,Lebensmittelsicherheit,laengen_verraeter,correct 2.91x laenger als Distraktor-Schnitt
LWA01,Landwirtschaft,laengen_verraeter,correct 2.06x laenger als Distraktor-Schnitt
LWA02,Landwirtschaft,laengen_verraeter,correct 2.75x laenger als Distraktor-Schnitt
LWA03,Landwirtschaft,laengen_verraeter,correct 2.43x laenger als Distraktor-Schnitt
LWA05,Landwirtschaft,laengen_verraeter,correct 2.84x laenger als Distraktor-Schnitt
LWA06,Landwirtschaft,laengen_verraeter,correct 3.4x laenger als Distraktor-Schnitt
LWA07,Landwirtschaft,laengen_verraeter,correct 3.67x laenger als Distraktor-Schnitt
LWA17,Landwirtschaft,laengen_verraeter,correct 1.72x laenger als Distraktor-Schnitt
LWA18,Landwirtschaft,laengen_verraeter,correct 2.89x laenger als Distraktor-Schnitt
FIN01,Finanzbeitrag,laengen_verraeter,correct 2.8x laenger als Distraktor-Schnitt
FIN04,Finanzbeitrag,laengen_verraeter,correct 3.4x laenger als Distraktor-Schnitt
FIN05,Finanzbeitrag,laengen_verraeter,correct 2.89x laenger als Distraktor-Schnitt
FIN06,Finanzbeitrag,laengen_verraeter,correct 1.58x laenger als Distraktor-Schnitt
FIN07,Finanzbeitrag,laengen_verraeter,correct 2.84x laenger als Distraktor-Schnitt
FIN08,Finanzbeitrag,laengen_verraeter,correct 3.81x laenger als Distraktor-Schnitt
FIN09,Finanzbeitrag,laengen_verraeter,correct 1.58x laenger als Distraktor-Schnitt
FIN10,Finanzbeitrag,laengen_verraeter,correct 3.15x laenger als Distraktor-Schnitt
FIN11,Finanzbeitrag,laengen_verraeter,correct 3.32x laenger als Distraktor-Schnitt
FIN12,Finanzbeitrag,laengen_verraeter,correct 2.55x laenger als Distraktor-Schnitt
EUPA01,EU-Programme,laengen_verraeter,correct 1.79x laenger als Distraktor-Schnitt
EUPA03,EU-Programme,laengen_verraeter,correct 2.05x laenger als Distraktor-Schnitt
EUPA04,EU-Programme,laengen_verraeter,correct 2.42x laenger als Distraktor-Schnitt
EUPA05,EU-Programme,laengen_verraeter,correct 1.86x laenger als Distraktor-Schnitt
EUPA06,EU-Programme,laengen_verraeter,correct 3.05x laenger als Distraktor-Schnitt
EUPA07,EU-Programme,laengen_verraeter,correct 2.95x laenger als Distraktor-Schnitt
EUPA08,EU-Programme,laengen_verraeter,correct 2.57x laenger als Distraktor-Schnitt
EUPA15,EU-Programme,laengen_verraeter,correct 2.93x laenger als Distraktor-Schnitt
WSP03,Weltraum,laengen_verraeter,correct 1.84x laenger als Distraktor-Schnitt
WSP05,Weltraum,laengen_verraeter,correct 1.95x laenger als Distraktor-Schnitt
WSP06,Weltraum,laengen_verraeter,correct 2.31x laenger als Distraktor-Schnitt
WSP07,Weltraum,laengen_verraeter,correct 3.28x laenger als Distraktor-Schnitt
WSP14,Weltraum,laengen_verraeter,correct 2.63x laenger als Distraktor-Schnitt
FZA43,Personenfreizügigkeit,laengen_verraeter,correct 2.34x laenger als Distraktor-Schnitt
FZA45,Personenfreizügigkeit,laengen_verraeter,correct 2.65x laenger als Distraktor-Schnitt
FZA46,Personenfreizügigkeit,laengen_verraeter,correct 3.04x laenger als Distraktor-Schnitt
FZA47,Personenfreizügigkeit,laengen_verraeter,correct 1.91x laenger als Distraktor-Schnitt
FZA48,Personenfreizügigkeit,laengen_verraeter,correct 2.17x laenger als Distraktor-Schnitt
FZA49,Personenfreizügigkeit,laengen_verraeter,correct 2.2x laenger als Distraktor-Schnitt
FZA50,Personenfreizügigkeit,laengen_verraeter,correct 2.47x laenger als Distraktor-Schnitt
FZA51,Personenfreizügigkeit,laengen_verraeter,correct 3.21x laenger als Distraktor-Schnitt
FZA52,Personenfreizügigkeit,laengen_verraeter,correct 1.51x laenger als Distraktor-Schnitt
FZA53,Personenfreizügigkeit,laengen_verraeter,correct 1.94x laenger als Distraktor-Schnitt
FZA54,Personenfreizügigkeit,laengen_verraeter,correct 1.74x laenger als Distraktor-Schnitt
FZA55,Personenfreizügigkeit,laengen_verraeter,correct 2.55x laenger als Distraktor-Schnitt
FZA60,Personenfreizügigkeit,laengen_verraeter,correct 1.34x laenger als Distraktor-Schnitt
FZA61,Personenfreizügigkeit,laengen_verraeter,correct 1.65x laenger als Distraktor-Schnitt
FZA62,Personenfreizügigkeit,laengen_verraeter,correct 1.41x laenger als Distraktor-Schnitt
FZA64,Personenfreizügigkeit,laengen_verraeter,correct 2.03x laenger als Distraktor-Schnitt
FZA65,Personenfreizügigkeit,laengen_verraeter,correct 2.56x laenger als Distraktor-Schnitt
FZA67,Personenfreizügigkeit,laengen_verraeter,correct 1.69x laenger als Distraktor-Schnitt
FZA69,Personenfreizügigkeit,laengen_verraeter,correct 2.46x laenger als Distraktor-Schnitt
FZA71,Personenfreizügigkeit,laengen_verraeter,correct 3.06x laenger als Distraktor-Schnitt
FZA73,Personenfreizügigkeit,laengen_verraeter,correct 1.66x laenger als Distraktor-Schnitt
FZA81,Personenfreizügigkeit,laengen_verraeter,correct 1.93x laenger als Distraktor-Schnitt
FZA82,Personenfreizügigkeit,laengen_verraeter,correct 1.83x laenger als Distraktor-Schnitt
FZA83,Personenfreizügigkeit,laengen_verraeter,correct 2.1x laenger als Distraktor-Schnitt
FZA85,Personenfreizügigkeit,laengen_verraeter,correct 2.14x laenger als Distraktor-Schnitt
ELE39,Strom,laengen_verraeter,correct 1.62x laenger als Distraktor-Schnitt
ELE40,Strom,laengen_verraeter,correct 2.07x laenger als Distraktor-Schnitt
ELE41,Strom,laengen_verraeter,correct 1.3x laenger als Distraktor-Schnitt
ELE43,Strom,laengen_verraeter,correct 2.19x laenger als Distraktor-Schnitt
ELE44,Strom,laengen_verraeter,correct 1.94x laenger als Distraktor-Schnitt
ELE45,Strom,laengen_verraeter,correct 2.14x laenger als Distraktor-Schnitt
ELE46,Strom,laengen_verraeter,correct 2.92x laenger als Distraktor-Schnitt
ELE48,Strom,laengen_verraeter,correct 3.56x laenger als Distraktor-Schnitt
ELE49,Strom,laengen_verraeter,correct 2.39x laenger als Distraktor-Schnitt
ELE50,Strom,laengen_verraeter,correct 3.26x laenger als Distraktor-Schnitt
ELE52,Strom,laengen_verraeter,correct 1.59x laenger als Distraktor-Schnitt
ELE53,Strom,laengen_verraeter,correct 2.76x laenger als Distraktor-Schnitt
ELE54,Strom,laengen_verraeter,correct 2.14x laenger als Distraktor-Schnitt
ELE55,Strom,laengen_verraeter,correct 1.34x laenger als Distraktor-Schnitt
ELE56,Strom,laengen_verraeter,correct 2.41x laenger als Distraktor-Schnitt
ELE57,Strom,laengen_verraeter,correct 2.33x laenger als Distraktor-Schnitt
ELE58,Strom,laengen_verraeter,correct 2.0x laenger als Distraktor-Schnitt
ELE69,Strom,laengen_verraeter,correct 2.19x laenger als Distraktor-Schnitt
ELE70,Strom,laengen_verraeter,correct 3.16x laenger als Distraktor-Schnitt
ELE75,Strom,laengen_verraeter,correct 1.94x laenger als Distraktor-Schnitt
ELE76,Strom,laengen_verraeter,correct 1.98x laenger als Distraktor-Schnitt
LMS31,Lebensmittelsicherheit,laengen_verraeter,correct 2.67x laenger als Distraktor-Schnitt
LMS34,Lebensmittelsicherheit,laengen_verraeter,correct 3.06x laenger als Distraktor-Schnitt
LMS35,Lebensmittelsicherheit,laengen_verraeter,correct 1.9x laenger als Distraktor-Schnitt
LMS36,Lebensmittelsicherheit,laengen_verraeter,correct 2.91x laenger als Distraktor-Schnitt
LMS38,Lebensmittelsicherheit,laengen_verraeter,correct 1.56x laenger als Distraktor-Schnitt
LMS39,Lebensmittelsicherheit,laengen_verraeter,correct 3.29x laenger als Distraktor-Schnitt
LMS43,Lebensmittelsicherheit,laengen_verraeter,correct 1.89x laenger als Distraktor-Schnitt
LMS46,Lebensmittelsicherheit,laengen_verraeter,correct 1.71x laenger als Distraktor-Schnitt
LMS47,Lebensmittelsicherheit,laengen_verraeter,correct 2.07x laenger als Distraktor-Schnitt
LMS48,Lebensmittelsicherheit,laengen_verraeter,correct 3.12x laenger als Distraktor-Schnitt
LMS50,Lebensmittelsicherheit,laengen_verraeter,correct 1.68x laenger als Distraktor-Schnitt
LMS51,Lebensmittelsicherheit,laengen_verraeter,correct 2.74x laenger als Distraktor-Schnitt
LMS52,Lebensmittelsicherheit,laengen_verraeter,correct 1.59x laenger als Distraktor-Schnitt
LMS53,Lebensmittelsicherheit,laengen_verraeter,correct 3.4x laenger als Distraktor-Schnitt
LMS54,Lebensmittelsicherheit,laengen_verraeter,correct 2.4x laenger als Distraktor-Schnitt
LMS55,Lebensmittelsicherheit,laengen_verraeter,correct 2.74x laenger als Distraktor-Schnitt
LMS56,Lebensmittelsicherheit,laengen_verraeter,correct 1.97x laenger als Distraktor-Schnitt
LMS57,Lebensmittelsicherheit,laengen_verraeter,correct 2.78x laenger als Distraktor-Schnitt
LMS66,Lebensmittelsicherheit,laengen_verraeter,correct 2.5x laenger als Distraktor-Schnitt
LMS67,Lebensmittelsicherheit,laengen_verraeter,correct 2.61x laenger als Distraktor-Schnitt
LMS68,Lebensmittelsicherheit,laengen_verraeter,correct 2.67x laenger als Distraktor-Schnitt
LMS70,Lebensmittelsicherheit,laengen_verraeter,correct 2.12x laenger als Distraktor-Schnitt
MRA21,MRA,laengen_verraeter,correct 2.15x laenger als Distraktor-Schnitt
MRA23,MRA,laengen_verraeter,correct 4.28x laenger als Distraktor-Schnitt
MRA24,MRA,laengen_verraeter,correct 1.88x laenger als Distraktor-Schnitt
MRA27,MRA,laengen_verraeter,correct 1.6x laenger als Distraktor-Schnitt
MRA28,MRA,laengen_verraeter,correct 3.8x laenger als Distraktor-Schnitt
MRA29,MRA,laengen_verraeter,correct 1.53x laenger als Distraktor-Schnitt
MRA30,MRA,laengen_verraeter,correct 1.32x laenger als Distraktor-Schnitt
MRA31,MRA,laengen_verraeter,correct 2.65x laenger als Distraktor-Schnitt
MRA32,MRA,laengen_verraeter,correct 2.06x laenger als Distraktor-Schnitt
MRA33,MRA,laengen_verraeter,correct 3.09x laenger als Distraktor-Schnitt
MRA34,MRA,laengen_verraeter,correct 2.0x laenger als Distraktor-Schnitt
MRA35,MRA,laengen_verraeter,correct 2.19x laenger als Distraktor-Schnitt
MRA36,MRA,laengen_verraeter,correct 2.87x laenger als Distraktor-Schnitt
MRA37,MRA,laengen_verraeter,correct 3.28x laenger als Distraktor-Schnitt
MRA38,MRA,laengen_verraeter,correct 2.81x laenger als Distraktor-Schnitt
MRA39,MRA,laengen_verraeter,correct 2.1x laenger als Distraktor-Schnitt
MRA40,MRA,laengen_verraeter,correct 2.8x laenger als Distraktor-Schnitt
MRA41,MRA,laengen_verraeter,correct 2.91x laenger als Distraktor-Schnitt
LV12,Landverkehr,laengen_verraeter,correct 1.48x laenger als Distraktor-Schnitt
LV13,Landverkehr,laengen_verraeter,correct 1.85x laenger als Distraktor-Schnitt
LV14,Landverkehr,laengen_verraeter,correct 1.91x laenger als Distraktor-Schnitt
LV15,Landverkehr,laengen_verraeter,correct 1.96x laenger als Distraktor-Schnitt
LV16,Landverkehr,laengen_verraeter,correct 1.6x laenger als Distraktor-Schnitt
LV17,Landverkehr,laengen_verraeter,correct 3.2x laenger als Distraktor-Schnitt
LV20,Landverkehr,laengen_verraeter,correct 2.62x laenger als Distraktor-Schnitt
LV21,Landverkehr,laengen_verraeter,correct 2.06x laenger als Distraktor-Schnitt
LV22,Landverkehr,laengen_verraeter,correct 3.8x laenger als Distraktor-Schnitt
LV27,Landverkehr,laengen_verraeter,correct 3.24x laenger als Distraktor-Schnitt
LV30,Landverkehr,laengen_verraeter,correct 2.91x laenger als Distraktor-Schnitt
LV32,Landverkehr,laengen_verraeter,correct 1.64x laenger als Distraktor-Schnitt
LV34,Landverkehr,laengen_verraeter,correct 2.53x laenger als Distraktor-Schnitt
GE07,Gesundheit,laengen_verraeter,correct 2.01x laenger als Distraktor-Schnitt
GE09,Gesundheit,laengen_verraeter,correct 1.89x laenger als Distraktor-Schnitt
GE11,Gesundheit,laengen_verraeter,correct 2.19x laenger als Distraktor-Schnitt
GE13,Gesundheit,laengen_verraeter,correct 3.0x laenger als Distraktor-Schnitt
GE14,Gesundheit,laengen_verraeter,correct 4.03x laenger als Distraktor-Schnitt
GE18,Gesundheit,laengen_verraeter,correct 1.98x laenger als Distraktor-Schnitt
GE20,Gesundheit,laengen_verraeter,correct 1.94x laenger als Distraktor-Schnitt
GE21,Gesundheit,laengen_verraeter,correct 2.18x laenger als Distraktor-Schnitt
GE24,Gesundheit,laengen_verraeter,correct 1.64x laenger als Distraktor-Schnitt
GE25,Gesundheit,laengen_verraeter,correct 1.7x laenger als Distraktor-Schnitt
LUV17,Luftverkehr,laengen_verraeter,correct 3.17x laenger als Distraktor-Schnitt
LUV18,Luftverkehr,laengen_verraeter,correct 2.66x laenger als Distraktor-Schnitt
LUV20,Luftverkehr,laengen_verraeter,correct 1.39x laenger als Distraktor-Schnitt
LUV21,Luftverkehr,laengen_verraeter,correct 1.55x laenger als Distraktor-Schnitt
LUV24,Luftverkehr,laengen_verraeter,correct 1.63x laenger als Distraktor-Schnitt
LUV25,Luftverkehr,laengen_verraeter,correct 1.35x laenger als Distraktor-Schnitt
LUV26,Luftverkehr,laengen_verraeter,correct 3.5x laenger als Distraktor-Schnitt
LUV27,Luftverkehr,laengen_verraeter,correct 2.67x laenger als Distraktor-Schnitt
LUV29,Luftverkehr,laengen_verraeter,correct 1.71x laenger als Distraktor-Schnitt
LUV32,Luftverkehr,laengen_verraeter,correct 1.9x laenger als Distraktor-Schnitt
LUV33,Luftverkehr,laengen_verraeter,correct 2.26x laenger als Distraktor-Schnitt
LUV38,Luftverkehr,laengen_verraeter,correct 6.06x laenger als Distraktor-Schnitt
LUV39,Luftverkehr,laengen_verraeter,correct 8.46x laenger als Distraktor-Schnitt
FIN23,Finanzbeitrag,laengen_verraeter,correct 1.89x laenger als Distraktor-Schnitt
FIN24,Finanzbeitrag,laengen_verraeter,correct 1.45x laenger als Distraktor-Schnitt
FIN25,Finanzbeitrag,laengen_verraeter,correct 2.79x laenger als Distraktor-Schnitt
FIN26,Finanzbeitrag,laengen_verraeter,correct 1.87x laenger als Distraktor-Schnitt
FIN27,Finanzbeitrag,laengen_verraeter,correct 2.1x laenger als Distraktor-Schnitt
FIN28,Finanzbeitrag,laengen_verraeter,correct 2.94x laenger als Distraktor-Schnitt
FIN29,Finanzbeitrag,laengen_verraeter,correct 3.15x laenger als Distraktor-Schnitt
FIN30,Finanzbeitrag,laengen_verraeter,correct 2.31x laenger als Distraktor-Schnitt
FIN31,Finanzbeitrag,laengen_verraeter,correct 2.61x laenger als Distraktor-Schnitt
FIN32,Finanzbeitrag,laengen_verraeter,correct 3.45x laenger als Distraktor-Schnitt
FIN39,Finanzbeitrag,laengen_verraeter,correct 3.0x laenger als Distraktor-Schnitt
FIN40,Finanzbeitrag,laengen_verraeter,correct 1.49x laenger als Distraktor-Schnitt
FIN42,Finanzbeitrag,laengen_verraeter,correct 2.45x laenger als Distraktor-Schnitt
FIN44,Finanzbeitrag,laengen_verraeter,correct 2.55x laenger als Distraktor-Schnitt
EUPA16,EU-Programme,laengen_verraeter,correct 2.59x laenger als Distraktor-Schnitt
EUPA17,EU-Programme,laengen_verraeter,correct 3.44x laenger als Distraktor-Schnitt
EUPA18,EU-Programme,laengen_verraeter,correct 3.02x laenger als Distraktor-Schnitt
EUPA20,EU-Programme,laengen_verraeter,correct 4.26x laenger als Distraktor-Schnitt
EUPA22,EU-Programme,laengen_verraeter,correct 2.17x laenger als Distraktor-Schnitt
EUPA24,EU-Programme,laengen_verraeter,correct 3.89x laenger als Distraktor-Schnitt
EUPA30,EU-Programme,laengen_verraeter,correct 2.19x laenger als Distraktor-Schnitt
EUPA31,EU-Programme,laengen_verraeter,correct 3.44x laenger als Distraktor-Schnitt
EUPA32,EU-Programme,laengen_verraeter,correct 2.62x laenger als Distraktor-Schnitt
EUPA36,EU-Programme,laengen_verraeter,correct 2.81x laenger als Distraktor-Schnitt
EUPA38,EU-Programme,laengen_verraeter,correct 1.78x laenger als Distraktor-Schnitt
EUPA39,EU-Programme,laengen_verraeter,correct 1.66x laenger als Distraktor-Schnitt
WSP16,Weltraum,laengen_verraeter,correct 1.59x laenger als Distraktor-Schnitt
WSP17,Weltraum,laengen_verraeter,correct 1.85x laenger als Distraktor-Schnitt
WSP18,Weltraum,laengen_verraeter,correct 3.32x laenger als Distraktor-Schnitt
WSP19,Weltraum,laengen_verraeter,correct 5.43x laenger als Distraktor-Schnitt
WSP20,Weltraum,laengen_verraeter,correct 1.69x laenger als Distraktor-Schnitt
WSP24,Weltraum,laengen_verraeter,correct 2.01x laenger als Distraktor-Schnitt
WSP25,Weltraum,laengen_verraeter,correct 2.5x laenger als Distraktor-Schnitt
WSP26,Weltraum,laengen_verraeter,correct 2.34x laenger als Distraktor-Schnitt
WSP30,Weltraum,laengen_verraeter,correct 1.89x laenger als Distraktor-Schnitt
WSP31,Weltraum,laengen_verraeter,correct 2.54x laenger als Distraktor-Schnitt
WSP34,Weltraum,laengen_verraeter,correct 2.72x laenger als Distraktor-Schnitt
LWA19,Landwirtschaft,laengen_verraeter,correct 2.64x laenger als Distraktor-Schnitt
LWA21,Landwirtschaft,laengen_verraeter,correct 2.0x laenger als Distraktor-Schnitt
LWA22,Landwirtschaft,laengen_verraeter,correct 8.65x laenger als Distraktor-Schnitt
LWA23,Landwirtschaft,laengen_verraeter,correct 2.74x laenger als Distraktor-Schnitt
LWA24,Landwirtschaft,laengen_verraeter,correct 2.93x laenger als Distraktor-Schnitt
LWA26,Landwirtschaft,laengen_verraeter,correct 1.57x laenger als Distraktor-Schnitt
LWA27,Landwirtschaft,laengen_verraeter,correct 3.97x laenger als Distraktor-Schnitt
LWA31,Landwirtschaft,laengen_verraeter,correct 3.21x laenger als Distraktor-Schnitt
LWA34,Landwirtschaft,laengen_verraeter,correct 5.31x laenger als Distraktor-Schnitt
LWA35,Landwirtschaft,laengen_verraeter,correct 1.7x laenger als Distraktor-Schnitt
LWA36,Landwirtschaft,laengen_verraeter,correct 3.08x laenger als Distraktor-Schnitt
INST24,Institutionell,laengen_verraeter,correct 2.54x laenger als Distraktor-Schnitt
INST25,Institutionell,laengen_verraeter,correct 4.69x laenger als Distraktor-Schnitt
INST26,Institutionell,laengen_verraeter,correct 1.64x laenger als Distraktor-Schnitt
INST27,Institutionell,laengen_verraeter,correct 2.59x laenger als Distraktor-Schnitt
INST29,Institutionell,laengen_verraeter,correct 2.08x laenger als Distraktor-Schnitt
INST36,Institutionell,laengen_verraeter,correct 2.95x laenger als Distraktor-Schnitt
INST37,Institutionell,laengen_verraeter,correct 1.46x laenger als Distraktor-Schnitt
INST38,Institutionell,laengen_verraeter,correct 2.24x laenger als Distraktor-Schnitt
INST41,Institutionell,laengen_verraeter,correct 3.08x laenger als Distraktor-Schnitt
INST42,Institutionell,laengen_verraeter,correct 3.35x laenger als Distraktor-Schnitt
INST43,Institutionell,laengen_verraeter,correct 3.86x laenger als Distraktor-Schnitt
